cityId	cityName	province
0c2c9673-b879-5503-8052-7042d2aada05	七台河	黑龙江
06efca87-4a90-5ff3-ad74-4b233093f3b5	三亚	海南
d5cfa439-c621-57a7-b029-4752fdb5ef07	三明	福建
8fde4cf4-09c0-5d8c-8835-89ab2a3c44e4	三门峡	河南
b4466602-0f7c-59cb-bf36-8083959fd32d	上海	上海
be78b24d-5f03-54e8-ba02-a40bac892ba8	上饶	江西
99c9e005-5dce-5d85-b5bb-e7c2d4172798	东莞	广东
dcb13d7a-4242-512d-a8fc-fd542639f42c	东营	山东
53a49e05-84a2-5b55-a0e8-04fc4f1e06a0	中卫	宁夏
53490542-fe11-5f25-b1d5-999d3cb6ab20	中山	广东
89d8ba5f-38cb-517d-9fac-8130b0cc5132	临汾	山西
8dbbad97-ddec-5fb6-b999-86fdcda31e8c	临沂	山东
6bd1b27d-1504-544e-bfc1-00cdb64f2464	丹东	辽宁
77fb924d-9f21-519c-9e09-09e045fcb6fd	丽水	浙江
572d76a9-ea01-5bdb-8cf8-82dcb8a11941	丽江	云南
538e3cf0-c4bd-52b4-8098-ff9f454cd73b	乌兰察布	内蒙古
643b9750-37f4-5e47-aded-99d4da10a395	乌海	内蒙古
8c34a550-4813-51ce-aaef-8fd3b49fc457	乌鲁木齐	新疆
13109359-3236-52fd-9a9f-9e76690620ed	乐山	四川
85b0a9b1-7dfe-51b9-93f4-9ab616e19c78	九江	江西
a2915f8f-7ec5-55a8-8f05-7a0a0c854eb3	云浮	广东
97c20aa6-46ff-563c-814b-f065f38448af	亳州	安徽
bb3a809d-181e-5668-b712-26a387ae2710	伊春	黑龙江
51830e2b-c121-52be-9aec-a5fb2338e485	伊犁哈萨克	新疆
d2e9a26d-707e-56db-ade0-f21d0bfed603	佛山	广东
c6f2638c-2ad9-5c3b-a5c1-db1124e559f3	佳木斯	黑龙江
2accd732-552a-52e1-9da1-53ba89f40290	保定	河北
605c11d4-ccde-5cdc-82df-473f8da9ba08	信阳	河南
c882ad16-11db-5d4c-b399-5c2e63935378	儋州	海南
