name	city	cityId
一间堡	长春	b31467e8-ee25-5af4-b3cb-eb05045f8386
一面坡	哈尔滨	bf1d85eb-9c0b-5b3f-93c3-8fe4cbe5d4f5
一面坡北	哈尔滨	bf1d85eb-9c0b-5b3f-93c3-8fe4cbe5d4f5
一面山	丹东	6bd1b27d-1504-544e-bfc1-00cdb64f2464
七台河	七台河	0c2c9673-b879-5503-8052-7042d2aada05
七甸	昆明	6a6a2f3a-a93b-5d79-8740-0f5b6971afed
七营	中卫	53a49e05-84a2-5b55-a0e8-04fc4f1e06a0
七里河	锦州	84ff6cdd-4123-5bf5-ac05-bede887d8968
万乐	哈尔滨	bf1d85eb-9c0b-5b3f-93c3-8fe4cbe5d4f5
万发屯	绥化	0e7d75da-cbab-57de-836f-26fa268a6aa0
万宁	海南省-自治区直辖县级行政区划	80f8a3af-31a2-5797-89f4-0ca9906b3527
万州	重庆	d88ce193-ca3a-5770-913b-13a872ece3fb
万州北	重庆	d88ce193-ca3a-5770-913b-13a872ece3fb
万年	上饶	be78b24d-5f03-54e8-ba02-a40bac892ba8
万源	达州	a8ca845b-0c63-506b-b1a2-59b834eba679
三义井	赤峰	bacdb061-dc48-5d6d-b61e-552c16634b7b
三井子	松原	68f42d61-6c23-57d6-8f79-7724e284450d
三亚	三亚	06efca87-4a90-5ff3-ad74-4b233093f3b5
三元区	三明	d5cfa439-c621-57a7-b029-4752fdb5ef07
三关口	固原	74e54c34-05fe-5fb4-b2ee-e0ca5e02a125
三十家	朝阳	11b88395-569a-5731-9cbb-52e13af3e45d
三十里堡	大连	675e944d-5945-56d5-bb53-8fc64015687c
三原	咸阳	74af60de-943f-5954-b526-a489f74e16e2
三合庄	北京	d721db6a-e56d-58fa-b283-2556241b5b2e
三堂集	阜阳	9cc5d6fd-f065-52da-bf72-9a046c4b31d0
三家寨	六盘水	56052d4c-5b32-550a-a748-dec9d9e30fba
三家店	北京	d721db6a-e56d-58fa-b283-2556241b5b2e
三明	三明	d5cfa439-c621-57a7-b029-4752fdb5ef07
三明北	三明	d5cfa439-c621-57a7-b029-4752fdb5ef07
三水	佛山	d2e9a26d-707e-56db-ade0-f21d0bfed603
三水北	佛山	d2e9a26d-707e-56db-ade0-f21d0bfed603
三水南	佛山	d2e9a26d-707e-56db-ade0-f21d0bfed603
三汇镇	达州	a8ca845b-0c63-506b-b1a2-59b834eba679
三江南	柳州	c0f75662-9ff3-554e-8917-d1045405985e
三江县	柳州	c0f75662-9ff3-554e-8917-d1045405985e
三江口	铁岭	a999ec8e-ed73-57b8-bdd6-1aa03ab6879d
三河县	廊坊	06acfd4b-2491-5f63-b36d-5441f6e3e442
三源浦	通化	1a094200-342b-5cd5-98f5-263d29ae8a7a
三穗	黔东南苗族侗族	b1dbde35-9276-5fe4-aeae-0447d47d8882
三营	固原	74e54c34-05fe-5fb4-b2ee-e0ca5e02a125
三道湖	白山	10c1360c-3b27-5353-80e9-1168e448f76b
三都县	黔南布依族苗族	e1d64b9d-2ef0-5bad-a504-6480cab5b7e9
三门县	台州	e23ecf48-5dc8-5392-b5b7-53638dcc662b
三门峡	三门峡	8fde4cf4-09c0-5d8c-8835-89ab2a3c44e4
三门峡南	三门峡	8fde4cf4-09c0-5d8c-8835-89ab2a3c44e4
三门峡西	三门峡	8fde4cf4-09c0-5d8c-8835-89ab2a3c44e4
三间房	齐齐哈尔	6f43cba3-ae73-5f62-a850-6f09c5a9cbed
三阳	黄山	4f944b8f-cd24-548b-aaed-fb9fe88f6834
三阳川	天水	15a5dff1-a212-5487-9091-e846753493b2
上万	北京	d721db6a-e56d-58fa-b283-2556241b5b2e
上园	朝阳	11b88395-569a-5731-9cbb-52e13af3e45d
上杭	龙岩	f2f26070-7585-572a-9a77-bc3a820bf840
上板城	承德	1373316a-cb1a-509b-a6cb-e5f1a2a6ecf8
上板城南	承德	1373316a-cb1a-509b-a6cb-e5f1a2a6ecf8
上海	上海	b4466602-0f7c-59cb-bf36-8083959fd32d
上海南	上海	b4466602-0f7c-59cb-bf36-8083959fd32d
上海虹桥	上海	b4466602-0f7c-59cb-bf36-8083959fd32d
上海西	上海	b4466602-0f7c-59cb-bf36-8083959fd32d
上腰墩	武威	e469de7d-a826-51c2-8769-1a68ea64f4ac
上虞	绍兴	d5ccf20a-f0f4-5ef0-8abd-8e31e45f6191
上西铺	六盘水	56052d4c-5b32-550a-a748-dec9d9e30fba
上饶	上饶	be78b24d-5f03-54e8-ba02-a40bac892ba8
上高镇	泰安	1d29fc17-ed46-56a4-8da0-fbb2295ee668
下台子	承德	1373316a-cb1a-509b-a6cb-e5f1a2a6ecf8
下城子	牡丹江	07e0ad42-924a-5614-9eb8-00237a1bde8b
下板城	承德	1373316a-cb1a-509b-a6cb-e5f1a2a6ecf8
下社	忻州	ed61505e-53e3-5987-9c3c-ff6c115c5dfe
下花园	张家口	b2c73ed7-ab7b-5d95-bb93-df84147aa52a
下马塘	本溪	55e49af1-7f97-5557-8cc5-457c319f926d
世博园	沈阳	5153e8e7-7633-5762-b223-e3e7f0e482fc
东丰	辽源	3953465f-af90-5a91-9e75-ab60b6e9bd39
东乡	抚州	9c042cb6-f769-522c-8a7f-c7fcf217a16a
东二道河	佳木斯	c6f2638c-2ad9-5c3b-a5c1-db1124e559f3
东京城	牡丹江	07e0ad42-924a-5614-9eb8-00237a1bde8b
东光	沧州	22edba49-72d1-55ee-b30d-bb49f3bfea5e
东升	中山	53490542-fe11-5f25-b1d5-999d3cb6ab20
东台	盐城	1d08f703-cd90-57a3-ba30-bd54afea000a
东城南	东莞	99c9e005-5dce-5d85-b5bb-e7c2d4172798
东安东	永州	ab95f380-674c-5a94-8dde-587f8f3dae3c
东岔	天水	15a5dff1-a212-5487-9091-e846753493b2
东庄	忻州	ed61505e-53e3-5987-9c3c-ff6c115c5dfe
