trainTypeId	seatClass	seatLocation	price
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	A	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	C	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	D	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
D	一等	F	480
