type	departureCityId	arrivalCityId	departureStationCode	departureTerminalName	arrivalStationCode	arrivalTerminalName	departureDateTime	arrivalDateTime	carrier	code	seatClass	price	remainingSeats	totalSeats	departureStationName	arrivalStationName
TRAIN	C039	C005					2025-11-01T09:00:00	2025-11-01T13:28:00	中国铁路	G1	二等座	553	28	28	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T09:00:00	2025-11-01T13:28:00	中国铁路	G1	一等座	933	12	12	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T09:00:00	2025-11-01T13:28:00	中国铁路	G1	商务座	1748	5	5	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T07:00:00	2025-11-01T11:29:00	中国铁路	G101	二等座	553	32	32	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T07:00:00	2025-11-01T11:29:00	中国铁路	G101	一等座	933	10	10	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T07:00:00	2025-11-01T11:29:00	中国铁路	G101	商务座	1748	4	4	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T08:00:00	2025-11-01T12:24:00	中国铁路	G103	二等座	553	26	26	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T08:00:00	2025-11-01T12:24:00	中国铁路	G103	一等座	933	8	8	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T08:00:00	2025-11-01T12:24:00	中国铁路	G103	商务座	1748	3	3	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T10:00:00	2025-11-01T14:29:00	中国铁路	G105	二等座	553	21	21	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T10:00:00	2025-11-01T14:29:00	中国铁路	G105	一等座	933	7	7	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T10:00:00	2025-11-01T14:29:00	中国铁路	G105	商务座	1748	2	2	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T12:00:00	2025-11-01T16:32:00	中国铁路	G107	二等座	553	18	18	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T12:00:00	2025-11-01T16:32:00	中国铁路	G107	一等座	933	6	6	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T14:00:00	2025-11-01T18:26:00	中国铁路	G109	二等座	553	24	24	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T14:00:00	2025-11-01T18:26:00	中国铁路	G109	一等座	933	9	9	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T14:00:00	2025-11-01T18:26:00	中国铁路	G109	商务座	1748	3	3	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T19:16:00	2025-11-02T07:25:00	中国铁路	D701	二等卧	410	20	20	北京南站	上海虹桥站
TRAIN	C039	C005					2025-11-01T19:16:00	2025-11-02T07:25:00	中国铁路	D701	一等卧	650	8	8	北京南站	上海虹桥站
TRAIN	C005	C039					2025-11-01T09:00:00	2025-11-01T13:49:00	中国铁路	G2	二等座	553	22	22	上海虹桥站	北京南站
TRAIN	C039	C112					2026-05-01T10:00:00	2026-05-01T17:59:00	中国铁路	G79	二等座	862	19	19	北京西站	广州南站
TRAIN	C039	C112					2026-05-01T10:00:00	2026-05-01T17:59:00	中国铁路	G79	一等座	1380	8	8	北京西站	广州南站
TRAIN	C039	C112					2026-05-01T10:00:00	2026-05-01T17:59:00	中国铁路	G79	商务座	2724	2	2	北京西站	广州南站
TRAIN	C039	C153					2025-10-22T07:56:00	2025-10-22T12:33:00	中国铁路	G31	二等座	674	17	17	北京南站	杭州东站
TRAIN	C005	C231					2025-01-01T11:11:00	2025-01-01T11:42:00	中国铁路	G7384	二等座	40	26	26	上海虹桥站	苏州站
TRAIN	C005	C192					2026-05-01T06:15:00	2026-05-01T09:40:00	中国铁路	G7331	二等座	215	11	11	上海虹桥站	温州南站
TRAIN	C039	C082					2026-05-01T06:28:00	2026-05-01T07:30:00	中国铁路	G1002	二等座	60	7	7	北京南站	天津西站
TRAIN	C039	C272					2026-05-01T06:57:00	2026-05-01T15:12:00	中国铁路	G1003	二等座	545	8	8	北京南站	重庆北站
TRAIN	C039	C220					2026-05-01T07:26:00	2026-05-01T09:16:00	中国铁路	G1004	二等座	115	9	9	北京南站	石家庄站
TRAIN	C039	C083					2026-05-01T07:55:00	2026-05-01T10:30:00	中国铁路	G1005	二等座	170	10	10	北京南站	太原南站
TRAIN	C039	C061					2026-05-01T08:24:00	2026-05-01T11:00:00	中国铁路	G1006	二等座	170	11	11	北京南站	呼和浩特东站
TRAIN	C039	C172					2026-05-01T08:53:00	2026-05-01T12:40:00	中国铁路	G1007	二等座	250	12	12	北京南站	沈阳北站
TRAIN	C039	C283					2026-05-01T09:22:00	2026-05-01T14:23:00	中国铁路	G1008	二等座	335	13	13	北京南站	长春西站
TRAIN	C039	C066					2026-05-01T09:51:00	2026-05-01T15:56:00	中国铁路	G1009	二等座	405	14	14	北京南站	哈尔滨西站
TRAIN	C039	C042					2026-05-01T10:20:00	2026-05-01T15:35:00	中国铁路	G1010	二等座	350	15	15	北京南站	南京南站
TRAIN	C039	C053					2026-05-01T11:18:00	2026-05-01T16:34:00	中国铁路	G1012	二等座	355	17	17	北京南站	合肥南站
TRAIN	C039	C221					2026-05-01T11:47:00	2026-05-01T20:35:00	中国铁路	G1013	二等座	595	18	18	北京南站	福州南站
TRAIN	C039	C046					2026-05-01T12:16:00	2026-05-01T19:24:00	中国铁路	G1014	二等座	480	19	19	北京南站	南昌西站
TRAIN	C039	C180					2026-05-01T12:45:00	2026-05-01T15:07:00	中国铁路	G1015	二等座	165	20	20	北京南站	济南西站
TRAIN	C039	C267					2026-05-01T13:14:00	2026-05-01T17:00:00	中国铁路	G1016	二等座	260	21	21	北京南站	郑州东站
TRAIN	C039	C164					2026-05-01T13:43:00	2026-05-01T19:48:00	中国铁路	G1017	二等座	415	22	22	北京南站	武汉站
TRAIN	C039	C284					2026-05-01T14:12:00	2026-05-01T21:48:00	中国铁路	G1018	二等座	515	23	23	北京南站	长沙南站
TRAIN	C039	C044					2026-05-01T15:10:00	2026-05-02T02:34:00	中国铁路	G1020	二等座	775	25	25	北京南站	南宁东站
TRAIN	C039	C184					2026-05-01T15:39:00	2026-05-02T04:21:00	中国铁路	G1021	二等座	860	26	26	北京南站	海口东站
TRAIN	C039	C128					2026-05-01T16:08:00	2026-05-02T00:45:00	中国铁路	G1022	二等座	590	27	27	北京南站	成都东站
TRAIN	C039	C249					2026-05-01T16:37:00	2026-05-02T02:19:00	中国铁路	G1023	二等座	665	28	28	北京南站	贵阳北站
TRAIN	C039	C142					2026-05-01T17:06:00	2026-05-02T04:44:00	中国铁路	G1024	二等座	795	29	29	北京南站	昆明南站
TRAIN	C039	C133					2026-05-01T17:35:00	2026-05-02T07:45:00	中国铁路	G1025	二等座	965	30	30	北京南站	拉萨站
TRAIN	C039	C246					2026-05-01T18:04:00	2026-05-01T23:21:00	中国铁路	G1026	二等座	370	31	31	北京南站	西安北站
TRAIN	C039	C034					2026-05-01T18:33:00	2026-05-02T01:19:00	中国铁路	G1027	二等座	470	32	32	北京南站	兰州西站
TRAIN	C039	C245					2026-05-01T19:02:00	2026-05-02T02:35:00	中国铁路	G1028	二等座	525	33	33	北京南站	西宁站
TRAIN	C039	C279					2026-05-01T19:31:00	2026-05-02T00:43:00	中国铁路	G1029	二等座	365	34	34	北京南站	银川站
TRAIN	C039	C018					2026-05-01T20:00:00	2026-05-02T09:23:00	中国铁路	G1030	二等座	915	35	35	北京南站	乌鲁木齐站
TRAIN	C039	C300					2026-05-01T20:29:00	2026-05-02T07:28:00	中国铁路	G1031	二等座	755	5	5	北京南站	香港西九龙站
TRAIN	C039	C190					2026-05-01T06:56:00	2026-05-01T17:48:00	中国铁路	G1034	二等座	750	8	8	北京南站	深圳北站
TRAIN	C039	C050					2026-05-01T07:25:00	2026-05-01T17:05:00	中国铁路	G1035	二等座	675	9	9	北京南站	厦门北站
TRAIN	C039	C297					2026-05-01T07:54:00	2026-05-01T11:17:00	中国铁路	G1036	二等座	250	10	10	北京南站	青岛北站
TRAIN	C039	C080					2026-05-01T08:23:00	2026-05-01T11:17:00	中国铁路	G1037	二等座	220	11	11	北京南站	大连北站
TRAIN	C039	C088					2026-05-01T08:52:00	2026-05-01T15:47:00	中国铁路	G1038	二等座	490	12	12	北京南站	宁波站
TRAIN	C039	C231					2026-05-01T09:21:00	2026-05-01T15:18:00	中国铁路	G1039	二等座	425	13	13	北京南站	苏州站
TRAIN	C039	C139					2026-05-01T09:50:00	2026-05-01T15:37:00	中国铁路	G1040	二等座	420	14	14	北京南站	无锡站
TRAIN	C039	C158					2026-05-01T10:19:00	2026-05-01T20:00:00	中国铁路	G1041	二等座	680	15	15	北京南站	桂林北站
TRAIN	C039	C002					2026-05-01T10:48:00	2026-05-02T00:38:00	中国铁路	G1042	二等座	960	16	16	北京南站	三亚站
TRAIN	C039	C119					2026-05-01T11:17:00	2026-05-01T18:46:00	中国铁路	G1043	二等座	535	17	17	北京南站	张家界西站
TRAIN	C039	C015					2026-05-01T11:46:00	2026-05-01T23:22:00	中国铁路	G1044	二等座	810	18	18	北京南站	丽江站
TRAIN	C039	C308					2026-05-01T12:44:00	2026-05-01T19:19:00	中国铁路	G1046	二等座	475	20	20	北京南站	黄山北站
