idHotel	foodOption	rating	price	idAsUUID
0	BREAKFAST	4.5	38	1a2bb0da-7b14-39a6-9de6-462029dc9f06
0	NO_CATERING	4.0	0	9b620dec-c11f-3c18-bd48-cda222959a44
1	BREAKFAST	4.5	38	18848991-5e47-39d8-86b1-3572df161c35
1	NO_CATERING	4.0	0	6627f7a3-28e7-3ab7-b88d-b842e174d7fd
2	BREAKFAST	4.5	38	53e5933b-1ae5-3aad-8ca2-fea3d44b6a77
2	NO_CATERING	4.0	0	baaafc26-fd98-3bb1-917d-7a4154bb0c25
3	BREAKFAST	4.5	38	d54537ee-9227-3a75-8887-a9804fce03a4
3	NO_CATERING	4.0	0	ad041f5c-0fe5-3467-a2af-7e92317cd78a
4	BREAKFAST	4.5	38	5f4a396e-d001-3fd5-b0f2-a3d30a76eae4
4	NO_CATERING	4.0	0	40974ec6-c00a-3513-86aa-decb2afa5fc6
5	BREAKFAST	4.5	38	53fb14c5-32bb-3c6d-af95-feededf46c57
5	NO_CATERING	4.0	0	29581263-6bc9-38d1-afbc-4298b9a99735
6	BREAKFAST	4.5	38	9d1027c6-65e7-39c9-a0fb-c9042f16e84d
6	NO_CATERING	4.0	0	59a9ef39-c27d-3095-8ae4-a38aac6c2f27
7	BREAKFAST	4.5	38	cc66e631-357a-3ba3-a4e4-37ecd52a9d91
7	NO_CATERING	4.0	0	813a55a6-6eb4-34a2-9409-4155621882ac
8	BREAKFAST	4.5	38	cc1f4bab-014c-3ba1-a2bd-98020de59cee
8	NO_CATERING	4.0	0	c0edb1cc-7c2d-3dcb-8d70-b793e7bc08a4
9	BREAKFAST	4.5	38	cc1a6b52-b864-3ffe-af43-aa5218807dda
9	NO_CATERING	4.0	0	685c8300-941a-3dea-8c88-43bfc004d06f
10	BREAKFAST	4.5	38	85a2fe83-ab58-3d7a-a007-29cb31afebed
10	NO_CATERING	4.0	0	f47bfa08-8396-3623-bf6f-1c1d20fc5c8d
11	BREAKFAST	4.5	38	3de5e7ea-2f0f-31bf-a309-44eff2705c7f
11	NO_CATERING	4.0	0	b9c5931f-4977-3164-a998-1de35e043b27
12	BREAKFAST	4.5	38	6faf9e04-334e-393c-b752-e12cb1144f0b
12	NO_CATERING	4.0	0	4bf7097e-ddca-38d1-ba0b-ee505ca7cd89
13	BREAKFAST	4.5	38	a9d147bb-d1af-32ca-8ade-0e35acb1ddf0
13	NO_CATERING	4.0	0	f4fb72d0-7a22-341d-ad43-50445071b03c
14	BREAKFAST	4.5	38	5f3e61c5-4e6a-36fe-a13a-9a3845fcbb65
14	NO_CATERING	4.0	0	9f0ea000-3944-3c40-ae1d-70f274328085
15	BREAKFAST	4.5	38	b63f3587-2163-3b6c-9ed0-9a2eaf401268
15	NO_CATERING	4.0	0	4b06c429-5262-3fad-98db-bdd70d97993a
16	BREAKFAST	4.5	38	440af94e-a166-3c91-99c3-cac25f144c51
16	NO_CATERING	4.0	0	034b1387-332f-3ebc-a74a-0ffe0c0065f8
