idHotel	departureOption	cityId
0	深圳	17c7f7c5-7904-527a-9a7a-b0edf2ffd375
0	西安	ddb54c72-1527-53f0-ba7c-02548ddf2f8c
0	南京	1428577a-a311-5d57-ad3f-bafb7795b063
0	沈阳	5153e8e7-7633-5762-b223-e3e7f0e482fc
1	成都	03c69062-0880-5837-bae9-fe487784fe4e
1	武汉	39d1951e-19c0-579d-b912-a178b69ae641
1	郑州	da3a0933-16eb-56a0-9911-eefa6edad967
1	乌鲁木齐	8c34a550-4813-51ce-aaef-8fd3b49fc457
2	广州	2bd99adc-e4d4-57a9-9027-f594f6acf0a2
2	重庆	d88ce193-ca3a-5770-913b-13a872ece3fb
2	杭州	38c8d0a9-f57b-57ea-852e-914ec59023b6
2	昆明	6a6a2f3a-a93b-5d79-8740-0f5b6971afed
3	深圳	17c7f7c5-7904-527a-9a7a-b0edf2ffd375
3	西安	ddb54c72-1527-53f0-ba7c-02548ddf2f8c
3	南京	1428577a-a311-5d57-ad3f-bafb7795b063
3	沈阳	5153e8e7-7633-5762-b223-e3e7f0e482fc
4	成都	03c69062-0880-5837-bae9-fe487784fe4e
4	武汉	39d1951e-19c0-579d-b912-a178b69ae641
4	郑州	da3a0933-16eb-56a0-9911-eefa6edad967
4	乌鲁木齐	8c34a550-4813-51ce-aaef-8fd3b49fc457
5	重庆	d88ce193-ca3a-5770-913b-13a872ece3fb
5	杭州	38c8d0a9-f57b-57ea-852e-914ec59023b6
5	昆明	6a6a2f3a-a93b-5d79-8740-0f5b6971afed
5	北京	d721db6a-e56d-58fa-b283-2556241b5b2e
6	西安	ddb54c72-1527-53f0-ba7c-02548ddf2f8c
6	南京	1428577a-a311-5d57-ad3f-bafb7795b063
6	沈阳	5153e8e7-7633-5762-b223-e3e7f0e482fc
6	上海	b4466602-0f7c-59cb-bf36-8083959fd32d
7	武汉	39d1951e-19c0-579d-b912-a178b69ae641
7	郑州	da3a0933-16eb-56a0-9911-eefa6edad967
7	乌鲁木齐	8c34a550-4813-51ce-aaef-8fd3b49fc457
7	广州	2bd99adc-e4d4-57a9-9027-f594f6acf0a2
8	杭州	38c8d0a9-f57b-57ea-852e-914ec59023b6
8	昆明	6a6a2f3a-a93b-5d79-8740-0f5b6971afed
8	北京	d721db6a-e56d-58fa-b283-2556241b5b2e
8	深圳	17c7f7c5-7904-527a-9a7a-b0edf2ffd375
9	南京	1428577a-a311-5d57-ad3f-bafb7795b063
9	沈阳	5153e8e7-7633-5762-b223-e3e7f0e482fc
9	上海	b4466602-0f7c-59cb-bf36-8083959fd32d
9	成都	03c69062-0880-5837-bae9-fe487784fe4e
10	郑州	da3a0933-16eb-56a0-9911-eefa6edad967
10	乌鲁木齐	8c34a550-4813-51ce-aaef-8fd3b49fc457
10	广州	2bd99adc-e4d4-57a9-9027-f594f6acf0a2
10	重庆	d88ce193-ca3a-5770-913b-13a872ece3fb
11	昆明	6a6a2f3a-a93b-5d79-8740-0f5b6971afed
11	北京	d721db6a-e56d-58fa-b283-2556241b5b2e
11	深圳	17c7f7c5-7904-527a-9a7a-b0edf2ffd375
11	西安	ddb54c72-1527-53f0-ba7c-02548ddf2f8c
12	沈阳	5153e8e7-7633-5762-b223-e3e7f0e482fc
12	上海	b4466602-0f7c-59cb-bf36-8083959fd32d
12	成都	03c69062-0880-5837-bae9-fe487784fe4e
12	武汉	39d1951e-19c0-579d-b912-a178b69ae641
13	乌鲁木齐	8c34a550-4813-51ce-aaef-8fd3b49fc457
13	广州	2bd99adc-e4d4-57a9-9027-f594f6acf0a2
13	重庆	d88ce193-ca3a-5770-913b-13a872ece3fb
13	杭州	38c8d0a9-f57b-57ea-852e-914ec59023b6
14	北京	d721db6a-e56d-58fa-b283-2556241b5b2e
14	深圳	17c7f7c5-7904-527a-9a7a-b0edf2ffd375
14	西安	ddb54c72-1527-53f0-ba7c-02548ddf2f8c
14	南京	1428577a-a311-5d57-ad3f-bafb7795b063
15	上海	b4466602-0f7c-59cb-bf36-8083959fd32d
15	成都	03c69062-0880-5837-bae9-fe487784fe4e
15	武汉	39d1951e-19c0-579d-b912-a178b69ae641
15	郑州	da3a0933-16eb-56a0-9911-eefa6edad967
16	广州	2bd99adc-e4d4-57a9-9027-f594f6acf0a2
16	重庆	d88ce193-ca3a-5770-913b-13a872ece3fb
16	杭州	38c8d0a9-f57b-57ea-852e-914ec59023b6
16	昆明	6a6a2f3a-a93b-5d79-8740-0f5b6971afed
17	深圳	17c7f7c5-7904-527a-9a7a-b0edf2ffd375
17	西安	ddb54c72-1527-53f0-ba7c-02548ddf2f8c
17	南京	1428577a-a311-5d57-ad3f-bafb7795b063
17	沈阳	5153e8e7-7633-5762-b223-e3e7f0e482fc
18	成都	03c69062-0880-5837-bae9-fe487784fe4e
18	武汉	39d1951e-19c0-579d-b912-a178b69ae641
18	郑州	da3a0933-16eb-56a0-9911-eefa6edad967
18	乌鲁木齐	8c34a550-4813-51ce-aaef-8fd3b49fc457
19	重庆	d88ce193-ca3a-5770-913b-13a872ece3fb
19	杭州	38c8d0a9-f57b-57ea-852e-914ec59023b6
19	昆明	6a6a2f3a-a93b-5d79-8740-0f5b6971afed
19	北京	d721db6a-e56d-58fa-b283-2556241b5b2e
20	西安	ddb54c72-1527-53f0-ba7c-02548ddf2f8c
20	南京	1428577a-a311-5d57-ad3f-bafb7795b063
20	沈阳	5153e8e7-7633-5762-b223-e3e7f0e482fc
